package	version	osv_id	summary	aliases	fixed_versions	imports	details	references
stdlib	1.25.0	GO-2025-4015	Excessive CPU consumption in Reader.ReadResponse in net/textproto	BIT-golang-2025-61724,CVE-2025-61724	1.24.8,1.25.2	net/textproto:Reader.ReadResponse	The Reader.ReadResponse function constructs a response string through repeated string concatenation of lines. When the number of lines in a response is large, this can cause excessive CPU consumption.	https://go.dev/cl/709859;https://go.dev/issue/75716;https://groups.google.com/g/golang-announce/c/4Emdl2iQ_bI
stdlib	1.25.0	GO-2025-4155	Excessive resource consumption when printing error string for host certificate validation in crypto/x509	BIT-golang-2025-61729,CVE-2025-61729	1.24.11,1.25.5	crypto/x509:Certificate.Verify,Certificate.VerifyHostname	Within HostnameError.Error(), when constructing an error string, there is no limit to the number of hosts that will be printed out. Furthermore, the error string is constructed by repeated string concatenation, leading to quadratic runtime. Therefore, a certificate provided by a malicious actor can result in excessive resource consumption.	https://go.dev/cl/725920;https://go.dev/issue/76445;https://groups.google.com/g/golang-announce/c/8FJoBkPddm4
stdlib	1.25.0	GO-2025-4175	Improper application of excluded DNS name constraints when verifying wildcard names in crypto/x509	BIT-golang-2025-61727,CVE-2025-61727	1.24.11,1.25.5	crypto/x509:Certificate.Verify	An excluded subdomain constraint in a certificate chain does not restrict the usage of wildcard SANs in the leaf certificate. For example a constraint that excludes the subdomain test.example.com does not prevent a leaf certificate from claiming the SAN *.example.com.	https://go.dev/cl/723900;https://go.dev/issue/76442;https://groups.google.com/g/golang-announce/c/8FJoBkPddm4
stdlib	1.25.0	GO-2026-4337	Unexpected session resumption in crypto/tls	BIT-golang-2025-68121,CVE-2025-68121	1.24.13,1.25.7,1.26.0-rc.3	crypto/tls:Conn.Handshake,Conn.HandshakeContext,Conn.Read,Conn.Write,Conn.handshakeContext,Dial,DialWithDialer,Dialer.Dial,Dialer.DialContext,QUICConn.Start	During session resumption in crypto/tls, if the underlying Config has its ClientCAs or RootCAs fields mutated between the initial handshake and the resumed handshake, the resumed handshake may succeed when it should have failed. This may happen when a user calls Config.Clone and mutates the returned Config, or uses Config.GetConfigForClient. This can cause a client to resume a session with a server that it would not have resumed with during the initial handshake, or cause a server to resume a session with a client that it would not have resumed with during the initial handshake.	https://groups.google.com/g/golang-announce/c/K09ubi9FQFk;https://go.dev/cl/737700;https://go.dev/issue/77217
stdlib	1.25.0	GO-2026-4340	Handshake messages may be processed at the incorrect encryption level in crypto/tls	BIT-golang-2025-61730,CVE-2025-61730	1.24.12,1.25.6	crypto/tls:Conn.Handshake,Conn.HandshakeContext,Conn.Read,Conn.Write,Conn.handleKeyUpdate,Conn.handshakeContext,Conn.quicSetReadSecret,Dial,DialWithDialer,Dialer.Dial,Dialer.DialContext,QUICConn.HandleData,QUICConn.Start,clientHandshakeStateTLS13.establishHandshakeKeys,clientHandshakeStateTLS13.readServerFinished,clientHandshakeStateTLS13.sendClientFinished,serverHandshakeStateTLS13.checkForResumption,serverHandshakeStateTLS13.doHelloRetryRequest,serverHandshakeStateTLS13.readClientFinished,serverHandshakeStateTLS13.sendServerFinished,serverHandshakeStateTLS13.sendServerParameters	During the TLS 1.3 handshake if multiple messages are sent in records that span encryption level boundaries (for instance the Client Hello and Encrypted Extensions messages), the subsequent messages may be processed before the encryption level changes. This can cause some minor information disclosure if a network-local attacker can inject messages during the handshake.	https://go.dev/cl/724120;https://go.dev/issue/76443;https://groups.google.com/g/golang-announce/c/Vd2tYVM8eUc
stdlib	1.25.0	GO-2026-4341	Memory exhaustion in query parameter parsing in net/url	BIT-golang-2025-61726,CVE-2025-61726	1.24.12,1.25.6	net/url:ParseQuery,URL.Query,parseQuery	The net/url package does not set a limit on the number of query parameters in a query.  While the maximum size of query parameters in URLs is generally limited by the maximum request header size, the net/http.Request.ParseForm method can parse large URL-encoded forms. Parsing a large form containing many unique query parameters can cause excessive memory consumption.	https://go.dev/cl/736712;https://go.dev/issue/77101;https://groups.google.com/g/golang-announce/c/Vd2tYVM8eUc
stdlib	1.25.0	GO-2026-4342	Excessive CPU consumption when building archive index in archive/zip	BIT-golang-2025-61728,CVE-2025-61728	1.24.12,1.25.6	archive/zip:Reader.Open,Reader.initFileList	archive/zip uses a super-linear file name indexing algorithm that is invoked the first time a file in an archive is opened. This can lead to a denial of service when consuming a maliciously constructed ZIP archive.	https://go.dev/cl/736713;https://go.dev/issue/77102;https://groups.google.com/g/golang-announce/c/Vd2tYVM8eUc
stdlib	1.25.0	GO-2026-4601	Incorrect parsing of IPv6 host literals in net/url	BIT-golang-2026-25679,CVE-2026-25679	1.25.8,1.26.1	net/url:JoinPath,Parse,ParseRequestURI,URL.Parse,URL.UnmarshalBinary,parseHost	url.Parse insufficiently validated the host/authority component and accepted some invalid URLs.	https://go.dev/cl/752180;https://go.dev/issue/77578;https://groups.google.com/g/golang-announce/c/EdhZqrQ98hk
stdlib	1.25.0	GO-2026-4602	FileInfo can escape from a Root in os	BIT-golang-2026-27139,CVE-2026-27139	1.25.8,1.26.1	os:File.ReadDir,File.Readdir,ReadDir,dirFS.ReadDir,rootFS.ReadDir	On Unix platforms, when listing the contents of a directory using File.ReadDir or File.Readdir the returned FileInfo could reference a file outside of the Root in which the File was opened.  The impact of this escape is limited to reading metadata provided by lstat from arbitrary locations on the filesystem without permitting reading or writing files outside the root.	https://groups.google.com/g/golang-announce/c/EdhZqrQ98hk;https://go.dev/issue/77827;https://go.dev/cl/749480
stdlib	1.25.0	GO-2026-4603	URLs in meta content attribute actions are not escaped in html/template	BIT-golang-2026-27142,CVE-2026-27142	1.25.8,1.26.1	html/template:Template.Execute,Template.ExecuteTemplate,escaper.escapeAction,tTag	Actions which insert URLs into the content attribute of HTML meta tags are not escaped. This can allow XSS if the meta tag also has an http-equiv attribute with the value "refresh".  A new GODEBUG setting has been added, htmlmetacontenturlescape, which can be used to disable escaping URLs in actions in the meta content attribute which follow "url=" by setting htmlmetacontenturlescape=0.	https://groups.google.com/g/golang-announce/c/EdhZqrQ98hk;https://go.dev/issue/77954;https://go.dev/cl/752081
stdlib	1.25.0	GO-2026-4864	TOCTOU permits root escape on Linux via Root.Chmod in os in internal/syscall/unix	BIT-golang-2026-32282,CVE-2026-32282	1.25.9,1.26.2	internal/syscall/unix:Fchmodat	On Linux, if the target of Root.Chmod is replaced with a symlink while the chmod operation is in progress, Chmod can operate on the target of the symlink, even when the target lies outside the root.  The Linux fchmodat syscall silently ignores the AT_SYMLINK_NOFOLLOW flag, which Root.Chmod uses to avoid symlink traversal. Root.Chmod checks its target before acting and returns an error if the target is a symlink lying outside the root, so the impact is limited to cases where the target is replaced with a symlink between the check and operation.	https://go.dev/cl/763761;https://go.dev/issue/78293;https://groups.google.com/g/golang-announce/c/0uYbvbPZRWU
stdlib	1.25.0	GO-2026-4865	JsBraceDepth Context Tracking Bugs (XSS) in html/template	BIT-golang-2026-32289,CVE-2026-32289	1.25.9,1.26.2	html/template:Error.Error,HTMLEscaper,JSEscape,JSEscapeString,JSEscaper,ParseFS,ParseFiles,ParseGlob,Template.AddParseTree,Template.Clone,Template.DefinedTemplates,Template.Execute,Template.ExecuteTemplate,Template.Funcs,Template.Parse,Template.ParseFS,Template.ParseFiles,Template.ParseGlob,URLQueryEscaper,context.String,context.mangle,escaper.escapeBranch	Context was not properly tracked across template branches for JS template literals, leading to possibly incorrect escaping of content when branches were used. Additionally template actions within JS template literals did not properly track the brace depth, leading to incorrect escaping being applied.  These issues could cause actions within JS template literals to be incorrectly or improperly escaped, leading to XSS vulnerabilities.	https://go.dev/cl/763762;https://go.dev/issue/78331;https://groups.google.com/g/golang-announce/c/0uYbvbPZRWU
stdlib	1.25.0	GO-2026-4869	Unbounded allocation for old GNU sparse in archive/tar	BIT-golang-2026-32288,CVE-2026-32288	1.25.9,1.26.2	archive/tar:Reader.Next,Reader.readOldGNUSparseMap,readGNUSparseMap1x0	tar.Reader can allocate an unbounded amount of memory when reading a maliciously-crafted archive containing a large number of sparse regions encoded in the "old GNU sparse map" format.	https://go.dev/cl/763766;https://go.dev/issue/78301;https://groups.google.com/g/golang-announce/c/0uYbvbPZRWU
stdlib	1.25.0	GO-2026-4870	Unauthenticated TLS 1.3 KeyUpdate record can cause persistent connection retention and DoS in crypto/tls	BIT-golang-2026-32283,CVE-2026-32283	1.25.9,1.26.2	crypto/tls:Conn.Handshake,Conn.HandshakeContext,Conn.Read,Conn.Write,Conn.handleKeyUpdate,Dial,DialWithDialer,Dialer.Dial,Dialer.DialContext,QUICConn.HandleData,QUICConn.Start,clientHandshakeStateTLS13.establishHandshakeKeys,clientHandshakeStateTLS13.readServerFinished,serverHandshakeStateTLS13.readClientFinished,serverHandshakeStateTLS13.sendServerParameters	If one side of the TLS connection sends multiple key update messages post-handshake in a single record, the connection can deadlock, causing uncontrolled consumption of resources. This can lead to a denial of service.  This only affects TLS 1.3.	https://go.dev/cl/763767;https://go.dev/issue/78334;https://groups.google.com/g/golang-announce/c/0uYbvbPZRWU
stdlib	1.25.0	GO-2026-4918	Infinite loop in HTTP/2 transport when given bad SETTINGS_MAX_FRAME_SIZE in net/http/internal/http2 in golang.org/x/net	BIT-golang-2026-33814,CVE-2026-33814	0.53.0,1.25.10,1.26.3	golang.org/x/net/http2:Transport.NewClientConn,Transport.RoundTrip,Transport.RoundTripOpt,clientConnPool.GetClientConn,clientConnReadLoop.processSettingsNoWrite,noDialClientConnPool.GetClientConn,noDialH2RoundTripper.NewClientConn,noDialH2RoundTripper.RoundTrip,unencryptedTransport.RoundTrip;net/http:Client.CloseIdleConnections,Client.Do,Client.Get,Client.Head,Client.Post,Client.PostForm,ClientConn.Close,ClientConn.RoundTrip,Get,Head,Post,PostForm,Transport.CloseIdleConnections,Transport.NewClientConn,Transport.RoundTrip,http1ClientConn.Close,http1ClientConn.RoundTrip,http2Transport.NewClientConn,http2Transport.RoundTrip,http2Transport.RoundTripOpt,http2clientConnPool.GetClientConn,http2clientConnReadLoop.processSettingsNoWrite,http2noDialClientConnPool.GetClientConn,http2noDialH2RoundTripper.NewClientConn,http2noDialH2RoundTripper.RoundTrip,http2unencryptedTransport.RoundTrip	When processing HTTP/2 SETTINGS frames, transport will enter an infinite loop of writing CONTINUATION frames if it receives a SETTINGS_MAX_FRAME_SIZE with a value of 0.	https://go.dev/cl/761581;https://go.dev/cl/761640;https://go.dev/issue/78476;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-4946	Inefficient policy validation in crypto/x509	BIT-golang-2026-32281,CVE-2026-32281	1.25.9,1.26.2	crypto/x509:Certificate.Verify,policiesValid	Validating certificate chains which use policies is unexpectedly inefficient when certificates in the chain contain a very large number of policy mappings, possibly causing denial of service.  This only affects validation of otherwise trusted certificate chains, issued by a root CA in the VerifyOptions.Roots CertPool, or in the system certificate pool.	https://go.dev/cl/758061;https://go.dev/issue/78281;https://groups.google.com/g/golang-announce/c/0uYbvbPZRWU
stdlib	1.25.0	GO-2026-4947	Unexpected work during chain building in crypto/x509	BIT-golang-2026-32280,CVE-2026-32280	1.25.9,1.26.2	crypto/x509:Certificate.Verify,Certificate.buildChains	During chain building, the amount of work that is done is not correctly limited when a large number of intermediate certificates are passed in VerifyOptions.Intermediates, which can lead to a denial of service. This affects both direct users of crypto/x509 and users of crypto/tls.	https://go.dev/cl/758320;https://go.dev/issue/78282;https://groups.google.com/g/golang-announce/c/0uYbvbPZRWU
stdlib	1.25.0	GO-2026-4970	Root escape via symlink plus trailing slash in os	BIT-golang-2026-39822,CVE-2026-39822	1.25.12,1.26.5,1.27.0-rc.2	os:OpenInRoot,Root.Create,Root.Open,Root.OpenFile,Root.OpenRoot,Root.ReadFile,Root.WriteFile,openRootInRoot,rootFS.Open,rootFS.ReadDir,rootFS.ReadFile,rootOpenFileNolog	On Unix systems, opening a file in an os.Root improperly follows symlinks to locations outside of the Root when the final path component of the a path is a symbolic link and the path ends in /.  For example, 'root.Open("symlink/")' will open "symlink" even when "symlink" is a symbolic link pointing outside of the root.	https://go.dev/issue/79005;https://groups.google.com/g/golang-announce/c/OrmQE_Yp5Sc;https://go.dev/cl/797880
stdlib	1.25.0	GO-2026-4971	Panic in Dial and LookupPort when handling NUL byte on Windows in net	BIT-golang-2026-39836,CVE-2026-39836	1.25.10,1.26.3	net:Dial,DialTimeout,Dialer.Dial,Dialer.DialContext,Listen,ListenConfig.Listen,ListenConfig.ListenPacket,ListenPacket,LookupAddr,LookupCNAME,LookupHost,LookupIP,LookupMX,LookupNS,LookupPort,LookupSRV,LookupTXT,ResolveIPAddr,ResolveTCPAddr,ResolveUDPAddr,Resolver.LookupAddr,Resolver.LookupCNAME,Resolver.LookupHost,Resolver.LookupIP,Resolver.LookupIPAddr,Resolver.LookupMX,Resolver.LookupNS,Resolver.LookupNetIP,Resolver.LookupPort,Resolver.LookupSRV,Resolver.LookupTXT,Resolver.lookupAddr,Resolver.lookupMX,Resolver.lookupNS,Resolver.lookupPort,Resolver.lookupSRV,Resolver.lookupTXT	The Dial and LookupPort functions panic on Windows when provided with an input containing a NUL (0).	https://go.dev/issue/79006;https://groups.google.com/g/golang-announce/c/qcCIEXso47M;https://go.dev/cl/775320
stdlib	1.25.0	GO-2026-4976	ReverseProxy forwards queries with more than urlmaxqueryparams parameters in net/http/httputil	BIT-golang-2026-39825,CVE-2026-39825	1.25.10,1.26.3	net/http/httputil:ReverseProxy.ServeHTTP,cleanQueryParams	ReverseProxy can forward queries containing parameters not visible to Rewrite functions.  When used with a Rewrite function, or a Director function which parses query parameters, ReverseProxy sanitizes the forwarded request to remove query parameters which are not parsed by url.ParseQuery. ReverseProxy does not take ParseQuery's limit on the total number of query parameters (controlled by GODEBUG=urlmaxqueryparams=N) into account. This can permit ReverseProxy to forward a request containing a query parameter that is not visible to the Rewrite function.  For example, the query "a1=x&a2=x&...&a10000=x&hidden=y" can forward the parameter "hidden=y" while hiding it from the proxy's Rewrite function.	https://go.dev/cl/770541;https://go.dev/issue/78948;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-4977	Quadratic string concatenation in consumePhrase in net/mail	BIT-golang-2026-42499,CVE-2026-42499	1.25.10,1.26.3	net/mail:AddressParser.Parse,AddressParser.ParseList,Header.AddressList,ParseAddress,ParseAddressList,addrParser.consumePhrase	Pathological inputs could cause DoS through consumePhrase when parsing an email address according to RFC 5322.	https://go.dev/issue/78987;https://go.dev/cl/771520;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-4980	Escaper bypass leads to XSS in html/template	BIT-golang-2026-39826,CVE-2026-39826	1.25.10,1.26.3	html/template:Template.Execute,Template.ExecuteTemplate,isJSType	If a trusted template author were to write a <script> tag containing an empty 'type' attribute or a 'type' attribute with an ASCII whitespace, the execution of the template would incorrectly escape any data passed into the <script> block.	https://go.dev/issue/78981;https://go.dev/cl/771180;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-4981	Crash when handling long CNAME response in net	BIT-golang-2026-33811,CVE-2026-33811	1.25.10,1.26.3	net:LookupCNAME,Resolver.LookupCNAME,cgoResSearch	When using LookupCNAME with the cgo DNS resolver, a very long CNAME response can trigger a double-free of C memory and a crash.	https://go.dev/issue/78803;https://go.dev/cl/767860;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-4982	Bypass of meta content URL escaping causes XSS in html/template	BIT-golang-2026-39823,CVE-2026-39823	1.25.10,1.26.3	html/template:Template.Execute,Template.ExecuteTemplate,tMetaContent	CVE-2026-27142 fixed a vulnerability in which URLs were not correctly escaped inside of a <meta> tag's <content> attribute. If the URL content were to insert ASCII whitespaces around the '=' rune inside of the <content> attribute, the escaper would fail to similarly escape it, leading to XSS.	https://go.dev/issue/78913;https://go.dev/cl/769920;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-4986	Quadratic string concatentation in consumeComment in net/mail	BIT-golang-2026-39820,CVE-2026-39820	1.25.10,1.26.3	net/mail:AddressParser.Parse,AddressParser.ParseList,Header.AddressList,Header.Date,ParseAddress,ParseAddressList,ParseDate,addrParser.consumeComment	Well-crafted inputs reaching ParseAddress, ParseAddressList, and ParseDate were able to trigger excessive CPU exhaustion and memory allocations.	https://go.dev/issue/78566;https://go.dev/cl/759940;https://groups.google.com/g/golang-announce/c/qcCIEXso47M
stdlib	1.25.0	GO-2026-5026	Invoking failure to reject ASCII-only Punycode-encoded labels in golang.org/x/net/idna	CVE-2026-39821	1.25.13,1.26.6,1.27.0-rc.3,0.55.0	net/http:Client.CloseIdleConnections,Client.Do,Client.Get,Client.Head,Client.Post,Client.PostForm,ClientConn.Close,ClientConn.RoundTrip,Get,Head,Post,PostForm,Transport.CloseIdleConnections,Transport.NewClientConn,Transport.RoundTrip,http1ClientConn.Close,http1ClientConn.RoundTrip,http2ClientConn.RoundTrip,http2RoundTripper.RoundTrip,idnaASCII;net/http/internal/http2:Transport.AddConn,Transport.RoundTrip,Transport.RoundTripOpt,authorityAddr;golang.org/x/net/idna:Profile.ToASCII,Profile.ToUnicode,Profile.process,ToASCII,ToUnicode	The ToASCII and ToUnicode functions incorrectly accept Punycode-encoded labels that decode to an ASCII-only label. For example, ToUnicode("xn--example-.com") incorrectly returns the name "example.com" rather than an error.  This behavior can lead to privilege escalation in programs using the idna package. For example, a program which performs privilege checks on the ASCII hostname may reject "example.com" but permit "xn--example-.com". If that program subsequently converts the ASCII hostname to Unicode, it will inadvertently permits access to the Unicode name "example.com".	https://go.dev/cl/767220;https://go.dev/issue/78760;https://groups.google.com/g/golang-announce/c/iI-mYSI0lu8;https://groups.google.com/g/golang-announce/c/94pEornpRlI
stdlib	1.25.0	GO-2026-5037	Inefficient candidate hostname parsing in crypto/x509	BIT-golang-2026-27145,CVE-2026-27145	1.25.11,1.26.4	crypto/x509:Certificate.Verify,Certificate.VerifyHostname,HostnameError.Error,matchHostnames	(*x509.Certificate).VerifyHostname previously called matchHostnames in a loop over all DNS Subject Alternative Name (SAN) entries. This caused strings.Split(host, ".") to execute repeatedly on the same input hostname.  With a large DNS SAN list, verification costs scaled quadratically based on the number of SAN entries multiplied by the hostname's label count. Because x509.Verify validates hostnames before building the certificate chain, this overhead occurred even for untrusted certificates.	https://go.dev/cl/783621;https://go.dev/issue/79694;https://groups.google.com/g/golang-announce/c/tKs3rmcBcKw
stdlib	1.25.0	GO-2026-5038	Quadratic complexity in WordDecoder.DecodeHeader in mime	BIT-golang-2026-42504,CVE-2026-42504	1.25.11,1.26.4	mime:WordDecoder.DecodeHeader	Decoding a maliciously-crafted MIME header containing many invalid encoded-words can consume excessive CPU.	https://go.dev/issue/79217;https://go.dev/cl/774481;https://groups.google.com/g/golang-announce/c/tKs3rmcBcKw
stdlib	1.25.0	GO-2026-5039	Arbitrary inputs are included in errors without any escaping in net/textproto	BIT-golang-2026-42507,CVE-2026-42507	1.25.11,1.26.4	net/textproto:Error.Error,Reader.ReadCodeLine,Reader.ReadMIMEHeader,Reader.ReadResponse,parseCodeLine,readMIMEHeader	When returning errors, functions in the net/textproto package would include its input as part of the error. This might allow an attacker to inject misleading content to errors that are printed or logged.	https://go.dev/issue/79346;https://go.dev/cl/777060;https://groups.google.com/g/golang-announce/c/tKs3rmcBcKw
stdlib	1.25.0	GO-2026-5856	Invoking Encrypted Client Hello privacy leak in crypto/tls	BIT-golang-2026-42505,CVE-2026-42505	1.25.12,1.26.5,1.27.0-rc.2	crypto/tls:Conn.Handshake,Conn.HandshakeContext,Conn.Read,Conn.Write,Dial,DialWithDialer,Dialer.Dial,Dialer.DialContext,QUICConn.HandleData,QUICConn.SendSessionTicket,QUICConn.Start,clientHelloMsg.marshalMsg	Handshakes which used Encrypted Client Hello could be de-anonymized by a passive network observer due to a disclosure of pre-shared key identities in the unencrypted client hello.	https://go.dev/cl/775960;https://go.dev/issue/79282;https://groups.google.com/g/golang-announce/c/OrmQE_Yp5Sc
stdlib	1.25.0	GO-2026-5972	Enforce maximum recursion depth in encoding/asn1	BIT-golang-2026-33818,CVE-2026-33818	1.25.13,1.26.6,1.27.0-rc.3	encoding/asn1:Unmarshal,UnmarshalWithParams,parseField,parseSequenceOf	Enforce a recursion limit in Unmarshal to prevent stack exhaustion when parsing deeply-nested, recursive structures.	https://go.dev/issue/80405;https://groups.google.com/g/golang-announce/c/94pEornpRlI;https://go.dev/cl/814980
stdlib	1.25.0	GO-2026-6088	Add recursion depth guard during decode in encoding/xml	BIT-golang-2026-56859,CVE-2026-56859	1.25.13,1.26.6,1.27.0-rc.3	encoding/xml:Decoder.Decode,Decoder.DecodeElement,Decoder.RawToken,Decoder.Skip,Decoder.Token,Decoder.pop,Decoder.push,Decoder.unmarshal,Decoder.unmarshalPath,Unmarshal	Previously, DecodeElement would reset the depth counter causing it to never fire; this could lead to stack exhaustion.	https://go.dev/issue/80481;https://go.dev/cl/803320;https://groups.google.com/g/golang-announce/c/94pEornpRlI
stdlib	1.25.0	GO-2026-6089	Apply ReadHeaderTimeout when doing unencrypted HTTP/2 check in net/http	BIT-golang-2026-56853,CVE-2026-56853	1.25.13,1.26.6,1.27.0-rc.3	net/http:ListenAndServe,ListenAndServeTLS,Serve,ServeTLS,Server.ListenAndServe,Server.ListenAndServeTLS,Server.Serve,Server.ServeTLS,conn.readRequest,conn.serve	When a server is configured to support unencrypted HTTP/2, it reads a few bytes from each new connection to see if they contain the HTTP/2 client preface. ReadHeaderTimeout is unexpectedly not being applied when doing this.	https://go.dev/issue/80205;https://go.dev/cl/795540;https://groups.google.com/g/golang-announce/c/94pEornpRlI
