id	rule	severity	confidence	file	line	details	status	rationale
R3-033	G101	HIGH	LOW	internal/api/admin_token.go	22	Potential hardcoded credentials	NEEDS_MANUAL_REVIEW	The finding is the admin-token metadata identifier/context, not an embedded secret; it remains open pending independent secret-pattern review.
R3-034	G703	HIGH	HIGH	cmd/server/cli_runtime.go	914	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-035	G703	HIGH	HIGH	cmd/server/cli_runtime.go	883	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-036	G703	HIGH	HIGH	cmd/server/cli_runtime.go	880	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-037	G703	HIGH	HIGH	cmd/server/cli_runtime.go	768	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-038	G703	HIGH	HIGH	cmd/server/cli_runtime.go	744	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-039	G703	HIGH	HIGH	cmd/server/cli_runtime.go	741	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-040	G703	HIGH	HIGH	cmd/server/cli_runtime.go	731	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-041	G703	HIGH	HIGH	cmd/server/cli_runtime.go	692	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-042	G703	HIGH	HIGH	cmd/server/cli_runtime.go	594	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-043	G703	HIGH	HIGH	cmd/server/cli_runtime.go	591	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-044	G703	HIGH	HIGH	cmd/server/cli_runtime.go	581	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-045	G703	HIGH	HIGH	cmd/server/cli_runtime.go	457	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-046	G118	HIGH	MEDIUM	internal/launch/launch.go	192	Goroutine uses context.Background/TODO while request-scoped context is available	CORRECTED_AND_VERIFIED	The source-only post-R3 scan contains zero findings for this rule; the bounded context/root-scoped/permission fix is covered by targeted and full gates.
R3-047	G122	HIGH	MEDIUM	cmd/server/cli_runtime.go	658	Filesystem operation in filepath.Walk/WalkDir callback uses race-prone path; consider root-scoped APIs (e.g. os.Root) to prevent symlink TOCTOU traversal	CORRECTED_AND_VERIFIED	The source-only post-R3 scan contains zero findings for this rule; the bounded context/root-scoped/permission fix is covered by targeted and full gates.
R3-048	G204	MEDIUM	HIGH	internal/browser/download.go	466	Subprocess launched with variable	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-049	G204	MEDIUM	HIGH	internal/browser/download.go	352	Subprocess launched with variable	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-050	G204	MEDIUM	HIGH	cmd/server/main.go	559	Subprocess launched with variable	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-051	G204	MEDIUM	HIGH	cmd/server/main.go	557	Subprocess launched with variable	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-052	G204	MEDIUM	HIGH	cmd/server/main.go	555	Subprocess launched with variable	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-053	G304	MEDIUM	HIGH	internal/workflow/engine.go	53	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-054	G304	MEDIUM	HIGH	internal/mcp/advanced_tools.go	481	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-055	G304	MEDIUM	HIGH	internal/fingerprint/pool.go	25	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-056	G304	MEDIUM	HIGH	internal/config/config.go	172	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-057	G304	MEDIUM	HIGH	internal/config/config.go	91	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-058	G304	MEDIUM	HIGH	internal/browser/launch_chromium.go	201	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-059	G304	MEDIUM	HIGH	internal/browser/download.go	532	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-060	G304	MEDIUM	HIGH	internal/browser/download.go	136	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-061	G304	MEDIUM	HIGH	internal/browser/archive_security.go	209	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-062	G304	MEDIUM	HIGH	internal/browser/archive_security.go	168	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-063	G304	MEDIUM	HIGH	internal/browser/archive_security.go	141	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-064	G304	MEDIUM	HIGH	internal/api/router.go	831	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-065	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	914	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-066	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	883	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-067	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	744	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-068	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	692	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-069	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	658	Potential file inclusion via variable	CORRECTED_AND_VERIFIED	The backup tar callback no longer opens the tainted filesystem path directly; it uses os.Root.Open.
R3-070	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	594	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-071	G304	MEDIUM	HIGH	cmd/server/cli.go	856	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-072	G304	MEDIUM	HIGH	cmd/server/cli.go	572	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	Finding remains open and requires individual review.
R3-073	G107	MEDIUM	MEDIUM	internal/browser/download.go	523	Potential HTTP request made with variable url	NEEDS_MANUAL_REVIEW	Network request context/control is outside the closed R3 lots and remains scanner-open.
R3-074	G305	MEDIUM	HIGH	cmd/server/cli_runtime.go	764	File traversal when extracting zip/tar archive	MITIGATED_CONTROL_SCANNER_OPEN	Archive extraction retains lexical confinement, type rejection, size/count/depth limits and staging rollback; scanner still reports the pattern.
R3-075	G302	MEDIUM	HIGH	internal/browser/download.go	473	Expect file permissions to be 0600 or less	MITIGATED_CONTROL_SCANNER_OPEN	Runtime executables intentionally use 0755 inside owner-only directories, while secrets/markers/downloads/backups use 0600; remaining scanner rows need manual policy review.
R3-076	G302	MEDIUM	HIGH	internal/browser/download.go	394	Expect file permissions to be 0600 or less	MITIGATED_CONTROL_SCANNER_OPEN	Runtime executables intentionally use 0755 inside owner-only directories, while secrets/markers/downloads/backups use 0600; remaining scanner rows need manual policy review.
R3-077	G302	MEDIUM	HIGH	internal/browser/download.go	342	Expect file permissions to be 0600 or less	MITIGATED_CONTROL_SCANNER_OPEN	Runtime executables intentionally use 0755 inside owner-only directories, while secrets/markers/downloads/backups use 0600; remaining scanner rows need manual policy review.
R3-078	G302	MEDIUM	HIGH	cmd/server/cli.go	763	Expect file permissions to be 0600 or less	MITIGATED_CONTROL_SCANNER_OPEN	Runtime executables intentionally use 0755 inside owner-only directories, while secrets/markers/downloads/backups use 0600; remaining scanner rows need manual policy review.
R3-079	G301	MEDIUM	HIGH	internal/groups/store.go	45	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-080	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	1913	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-081	G301	MEDIUM	HIGH	internal/browser/launch_chromium.go	64	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-082	G301	MEDIUM	HIGH	internal/browser/download.go	449	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-083	G301	MEDIUM	HIGH	internal/browser/download.go	368	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-084	G301	MEDIUM	HIGH	internal/browser/download.go	307	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-085	G301	MEDIUM	HIGH	internal/browser/archive_security.go	206	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-086	G301	MEDIUM	HIGH	internal/browser/archive_security.go	199	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-087	G301	MEDIUM	HIGH	internal/browser/archive_security.go	138	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-088	G301	MEDIUM	HIGH	internal/browser/archive_security.go	130	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-089	G301	MEDIUM	HIGH	internal/browser/archive_security.go	23	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-090	G301	MEDIUM	HIGH	cmd/server/cli_runtime.go	880	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-091	G301	MEDIUM	HIGH	cmd/server/cli_runtime.go	768	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-092	G301	MEDIUM	HIGH	cmd/server/cli_runtime.go	741	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-093	G301	MEDIUM	HIGH	cmd/server/cli_runtime.go	731	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-094	G301	MEDIUM	HIGH	cmd/server/cli_runtime.go	457	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-095	G301	MEDIUM	HIGH	cmd/server/cli.go	778	Expect directory permissions to be 0750 or less	CORRECTED_AND_VERIFIED	All baseline G301 entries disappeared after owner-only runtime, archive, group and configuration directory modes.
R3-096	G306	MEDIUM	HIGH	internal/browser/download.go	144	Expect WriteFile permissions to be 0600 or less	CORRECTED_AND_VERIFIED	The source-only post-R3 scan contains zero findings for this rule; the bounded context/root-scoped/permission fix is covered by targeted and full gates.
R3-097	G104	LOW	HIGH	internal/mcp/stdio.go	56	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-098	G104	LOW	HIGH	internal/mcp/server.go	818	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-099	G104	LOW	HIGH	internal/mcp/server.go	667	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-100	G104	LOW	HIGH	internal/mcp/protocol.go	40	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-101	G104	LOW	HIGH	internal/humanize/keyboard.go	73-75	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-102	G104	LOW	HIGH	internal/humanize/keyboard.go	60	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-103	G104	LOW	HIGH	internal/humanize/keyboard.go	33	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-104	G104	LOW	HIGH	internal/fingerprint/pool.go	72	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-105	G104	LOW	HIGH	internal/browser/socks5relay.go	144	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-106	G104	LOW	HIGH	internal/browser/socks5relay.go	142	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-107	G104	LOW	HIGH	internal/browser/socks5relay.go	135	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-108	G104	LOW	HIGH	internal/browser/socks5relay.go	129	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-109	G104	LOW	HIGH	internal/browser/socks5relay.go	122	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-110	G104	LOW	HIGH	internal/browser/socks5relay.go	95	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-111	G104	LOW	HIGH	internal/browser/socks5relay.go	87	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-112	G104	LOW	HIGH	internal/browser/socks5relay.go	49	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-113	G104	LOW	HIGH	internal/browser/manager.go	399	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-114	G104	LOW	HIGH	internal/browser/manager.go	391	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-115	G104	LOW	HIGH	internal/browser/manager.go	376	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-116	G104	LOW	HIGH	internal/browser/manager.go	373	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-117	G104	LOW	HIGH	internal/browser/launch_firefox.go	153	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-118	G104	LOW	HIGH	internal/browser/launch_chromium.go	333	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-119	G104	LOW	HIGH	internal/browser/launch_chromium.go	312	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-120	G104	LOW	HIGH	internal/browser/download.go	473	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-121	G104	LOW	HIGH	internal/browser/download.go	466	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-122	G104	LOW	HIGH	internal/browser/download.go	463	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-123	G104	LOW	HIGH	internal/browser/download.go	449	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-124	G104	LOW	HIGH	internal/browser/download.go	394	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-125	G104	LOW	HIGH	internal/browser/download.go	382	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-126	G104	LOW	HIGH	internal/browser/download.go	368	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-127	G104	LOW	HIGH	internal/browser/download.go	342	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-128	G104	LOW	HIGH	internal/browser/download.go	323	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-129	G104	LOW	HIGH	internal/browser/download.go	144	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-130	G104	LOW	HIGH	internal/api/router.go	707	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-131	G104	LOW	HIGH	internal/api/dashboard.go	13	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
R3-132	G104	LOW	HIGH	cmd/server/main.go	429	Errors unhandled	NEEDS_MANUAL_REVIEW	The finding remains scanner-open; it requires component-level review rather than a global suppression or allowlist.
