rule	severity	confidence	file	line	details	post_file_rule_present	disposition	evidence
G304	MEDIUM	HIGH	internal/browser/download.go	578	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/browser/download.go	519	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/browser/download.go	137	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/api/router.go	831	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	internal/api/artifacts.go	31	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	784	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	756	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	694	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	656	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	645	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	590	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli.go	856	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G304	MEDIUM	HIGH	cmd/server/cli.go	572	Potential file inclusion via variable	yes	NEEDS_MANUAL_REVIEW	filesystem path remains in source-only scan; no specific R2-1 proof closes it
G110	MEDIUM	MEDIUM	internal/browser/download.go	633	Potential DoS vulnerability via decompression bomb	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 staging/limits/type rejection; targeted positive-negative tests; baseline occurrence absent from post scan
G110	MEDIUM	MEDIUM	internal/browser/download.go	587	Potential DoS vulnerability via decompression bomb	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 staging/limits/type rejection; targeted positive-negative tests; baseline occurrence absent from post scan
G110	MEDIUM	MEDIUM	cmd/server/cli_runtime.go	698	Potential DoS vulnerability via decompression bomb	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 staging/limits/type rejection; targeted positive-negative tests; baseline occurrence absent from post scan
G305	MEDIUM	HIGH	internal/browser/download.go	643	File traversal when extracting zip/tar archive	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 staging/limits/type rejection; targeted positive-negative tests; baseline occurrence absent from post scan
G305	MEDIUM	HIGH	internal/browser/download.go	619	File traversal when extracting zip/tar archive	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 staging/limits/type rejection; targeted positive-negative tests; baseline occurrence absent from post scan
G305	MEDIUM	HIGH	internal/browser/download.go	568	File traversal when extracting zip/tar archive	no	MITIGATED_CONTROL_SCANNER_OPEN	R2-1 staging/limits/type rejection; targeted positive-negative tests; baseline occurrence absent from post scan
