ID	RULE	FILE	FUNCTION	LINE	ENTRY_SOURCE	EXECUTED_PATH	PROTECTED_ASSET	EXPLOIT_PRECONDITIONS	IMPACT_C	IMPACT_I	IMPACT_A	PLATFORM	EXISTING_GUARD	NEGATIVE_TEST	GOSEC_RESULT	CLASSIFICATION	RECOMMENDED_ACTION	PRIORITY
R6-014	G404	internal/humanize/math.go	humanize movement/timing	76	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-015	G404	internal/humanize/math.go	humanize movement/timing	59	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-016	G404	internal/humanize/math.go	humanize movement/timing	55	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-017	G404	internal/humanize/math.go	humanize movement/timing	49	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-018	G404	internal/humanize/keyboard.go	humanize movement/timing	92	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-019	G404	internal/humanize/keyboard.go	humanize movement/timing	58	synthetic movement parameter	simulation -> jitter, anchors, delays	simulation quality only; no security decision	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	humanization package context; no auth/token/authorization use	humanize/browser regression tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; preserve simulation semantics	P3
R6-020	G404	internal/fingerprint/pool.go	fingerprint.Pool.Pick	80	pool index	fingerprint pool -> random unused selection	fingerprint rotation only; not a credential or authorization	random output is incorrectly reused for a cryptographic/security decision	not demonstrated / context dependent	not demonstrated	not demonstrated	Linux/portable source path	root-scoped pool loading; selection is non-security behavior; tokens use crypto/rand	fingerprint pool tests and source review	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual review; do not replace mechanically with crypto/rand	P3
R6-021	G704	internal/api/sessions.go	handlePlaywrightWebSocket	478	manager-owned session endpoint	session.ConnectURL -> internal WebSocket address	network reachability and internal session isolation	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	ws scheme, loopback, port, exact session path, no userinfo/query/fragment, timeout/deadline	playwright_ws_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain validator and test IPv4/IPv6 when environment permits	P2
R6-022	G704	cmd/server/cli_runtime.go	restoreFullBackup CLI caller	1039	CLI base URL/request	CLI base URL -> /api/restore	request destination and backup integrity	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	loopback validator, fixed API path, HTTP timeout, redirect refusal	cli_network_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	review caller/source taint; no external URL	P2
R6-023	G704	cmd/server/cli_runtime.go	backup CLI caller	968	CLI base URL/request	CLI base URL -> /api/backup	request destination and backup integrity	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	loopback validator, fixed API path, HTTP timeout, redirect refusal	cli_network_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls	P2
R6-024	G704	cmd/server/cli_runtime.go	createFullBackup CLI caller	963	CLI base URL/request	CLI base URL -> /api/backup	request destination and backup integrity	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	loopback validator, fixed API path, HTTP timeout, redirect refusal	cli_network_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls	P2
R6-025	G704	cmd/server/cli.go	apiGET/apiPOST caller	1088	CLI URL/request	validated CLI URL -> HTTP client	network destination and token-bound API call	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	loopback URL validation, timeout, fixed paths, auth caller checks	cli_network_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls and negative external-host tests	P2
R6-026	G704	cmd/server/cli.go	apiPOST caller	1004	CLI URL/request	validated CLI URL -> HTTP client	network destination and token-bound API call	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	loopback URL validation, timeout, fixed paths, auth caller checks	cli_network_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls	P2
R6-027	G704	cmd/server/cli.go	apiGET caller	985	CLI URL/request	validated CLI URL -> HTTP client	network destination and token-bound API call	caller controls URL/endpoint and bypasses loopback/schema/port/path/redirect checks	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	loopback URL validation, timeout, fixed paths, auth caller checks	cli_network_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls	P2
R6-028	G101	internal/api/admin_token.go	adminTokenMetadataName	22	literal `.api-token.meta`	constant -> metadata filename	scanner resemblance to credential; no credential value	a real credential value is embedded or persisted rather than a filename/metadata label	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux/portable source path	metadata contains digest/timestamps/revocation; token generated with crypto/rand; redacted responses	admin_token_test.go persistence/redaction tests	OPEN	SCANNER_OPEN_MANUAL_REVIEW	manual scanner review; never suppress globally	P3
R6-029	G703	cmd/server/cli_runtime.go	exportBackupMetadata	976	CLI output path	validated output -> metadata parent	backup metadata confidentiality/integrity	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	validated output/root-scoped writes, 0700 parent, cleanup	cli_backup_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	review caller contract and parent ownership	P2
R6-030	G703	cmd/server/cli_runtime.go	restoreFullBackup	812	backup archive entry	archive entry -> staged file parent	restore integrity and path confinement	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	secure archive target, type/symlink rejection, 0700 parent	cli_backup_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls; no blanket suppression	P2
R6-031	G703	cmd/server/cli_runtime.go	restoreFullBackup	781	backup archive entry	archive entry -> staged file parent	restore integrity and path confinement	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	secure archive target, type/symlink rejection, 0700 parent	cli_backup_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls; no blanket suppression	P2
R6-032	G703	cmd/server/cli_runtime.go	restoreFullBackup	771	backup archive entry	archive entry -> staging target directory	restore integrity and path confinement	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	archive bounds, normalized target, 0700 staging, rollback	cli_backup_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain staging/rollback and review residual scanner taint	P2
R6-033	G703	cmd/server/cli_runtime.go	createFullBackup	592	baseDir/output	baseDir -> output parent -> backup archive	backup confidentiality and integrity	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	validated backup path, 0700 parent, bounded archive, atomic/error cleanup	cli_backup_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls and verify owner/parent replacement	P2
R6-034	G703	cmd/server/cli_runtime.go	safeBackupPath	582	backup root and archive name	backup root -> validated output/name	backup path traversal and overwrite	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	root/path validation, non-directory check, symlink/hardlink controls	cli_backup_security_test.go	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain and independently review TOCTOU semantics	P2
R6-035	G703	cmd/server/cli_runtime.go	installBrowsers	458	baseDir/runtimesCSV	baseDir -> browsers runtime directory	runtime installation root and binary tree	attacker/caller controls path or archive name and bypasses root/type/rollback checks	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux/portable source path	Install root is fixed under baseDir; 0700 directory and archive/path controls	browser installer tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	manual review of caller root and parent ownership	P2
R6-036	G204	internal/browser/download.go	clearMacOSQuarantine	515	staged runtime directory	trusted runtime staging -> xattr -cr	integrity of installed runtime metadata	platform branch executes a fixed external binary in a native environment	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux source path; native Windows/macOS action unavailable	hardcoded xattr binary/options, bounded timeout, macOS branch only	browser runtime tests; native macOS unavailable	OPEN	BLOCKED_ENVIRONMENT_REQUIRED	execute only in native macOS environment	P2
R6-037	G204	internal/browser/download.go	clearMacOSQuarantine	388	runtime path	path -> xattr -cr	integrity of installed runtime metadata	platform branch executes a fixed external binary in a native environment	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux source path; native Windows/macOS action unavailable	hardcoded xattr binary/options, bounded timeout, macOS branch only	browser runtime tests; native macOS unavailable	OPEN	BLOCKED_ENVIRONMENT_REQUIRED	execute only in native macOS environment	P2
R6-038	G204	cmd/server/main.go	openBrowser	564	loopback/local URL	validated local URL -> platform opener	user-visible navigation destination	platform branch executes a fixed external binary in a native environment	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux source path; native Windows/macOS action unavailable	fixed executable per platform, no shell, caller URL validation	CLI network tests; GUI/native platforms unavailable	OPEN	BLOCKED_ENVIRONMENT_REQUIRED	native platform verification required	P2
R6-039	G204	cmd/server/main.go	openBrowser	562	loopback/local URL	validated local URL -> platform opener	user-visible navigation destination	platform branch executes a fixed external binary in a native environment	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux source path; native Windows/macOS action unavailable	fixed executable per platform, no shell, caller URL validation	CLI network tests; GUI/native platforms unavailable	OPEN	BLOCKED_ENVIRONMENT_REQUIRED	native platform verification required	P2
R6-040	G204	cmd/server/main.go	openBrowser	560	loopback/local URL	validated local URL -> platform opener	user-visible navigation destination	platform branch executes a fixed external binary in a native environment	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	resource exhaustion, failed runtime operation or unavailable native action	Linux source path; native Windows/macOS action unavailable	fixed executable per platform, no shell, caller URL validation	CLI network tests; GUI/native platforms unavailable	OPEN	BLOCKED_ENVIRONMENT_REQUIRED	native platform verification required	P2
R6-041	G305	cmd/server/cli_runtime.go	archive path handling	808	archive entry name	archive entry name -> extraction target	path traversal during archive restore	archive name reaches extraction target without complete confinement	not demonstrated / context dependent	potential overwrite, path/process integrity loss or persona incoherence	not demonstrated	Linux/portable source path	R4/R6 target validation, bounded archive and symlink/type rejection	archive/backup negative tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	retain controls and review scanner taint	P2
R6-042	G302	internal/groups/store.go	groups.NewStore	48	dataDir	data directory -> groups.json	group proxy metadata confidentiality/integrity	weak parent/mode/ownership permits another user to read, alter or replace an artifact	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux source path; native Windows/macOS action unavailable	directory 0700; groups.json temporary mode 0600; atomic rename	store_test.go verifies 0700/0600	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	native owner/parent/replacement review	P2
R6-043	G302	internal/browser/download.go	runtime installer	526	trusted staged runtime archive	confined staging -> executable chmod 0755	runtime availability and executable integrity	weak parent/mode/ownership permits another user to read, alter or replace an artifact	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux source path; native Windows/macOS action unavailable	staging/root 0700; archive bounds/types/symlink controls; executable 0755 is functional	archive/runtime installer tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	native owner/other-user review; do not reduce executable mode blindly	P2
R6-044	G302	internal/browser/download.go	runtime installer	434	trusted staged runtime archive	confined staging -> executable chmod 0755	runtime availability and executable integrity	weak parent/mode/ownership permits another user to read, alter or replace an artifact	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux source path; native Windows/macOS action unavailable	staging/root 0700; archive bounds/types/symlink controls; executable 0755 is functional	archive/runtime installer tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	native owner/other-user review; do not reduce executable mode blindly	P2
R6-045	G302	internal/browser/download.go	runtime installer	374	trusted staged runtime archive	confined staging -> executable chmod 0755	runtime availability and executable integrity	weak parent/mode/ownership permits another user to read, alter or replace an artifact	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux source path; native Windows/macOS action unavailable	staging/root 0700; archive bounds/types/symlink controls; executable 0755 is functional	archive/runtime installer tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	native owner/other-user review; do not reduce executable mode blindly	P2
R6-046	G302	cmd/server/cli.go	ensureRuntimeDirs	763	baseDir	baseDir -> profiles/data/logs/browsers	runtime data confidentiality/integrity	weak parent/mode/ownership permits another user to read, alter or replace an artifact	potential disclosure or destination exposure	not demonstrated	not demonstrated	Linux source path; native Windows/macOS action unavailable	MkdirAll + Chmod 0700 on each runtime directory	runtime/backup permission tests	OPEN	MITIGATED_CONTROL_SCANNER_OPEN	native owner/parent/replacement review	P2
