R6_ID	PRIORITY	PHASE	RULE	FILE	LINE	DETAILS	REACHABILITY_PROOF_REQUIRED	CURRENT_STATUS
R6-011	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	98	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-012	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	97	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-013	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	77	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-014	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	76	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-015	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	59	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-016	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	55	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-017	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/math.go	49	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-018	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/keyboard.go	92	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-019	P2	R6-P3 permissions/bounds/secrets	G404	internal/humanize/keyboard.go	58	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-020	P2	R6-P3 permissions/bounds/secrets	G404	internal/fingerprint/pool.go	64	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	prove non-crypto randomness never serves token/key/authz; review simulation semantics	OPEN_BASELINE
R6-021	P1	R6-P2 subprocess/network	G704	internal/api/sessions.go	478	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-022	P1	R6-P2 subprocess/network	G704	cmd/server/cli_runtime.go	1032	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-023	P1	R6-P2 subprocess/network	G704	cmd/server/cli_runtime.go	964	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-024	P1	R6-P2 subprocess/network	G704	cmd/server/cli_runtime.go	959	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-025	P1	R6-P2 subprocess/network	G704	cmd/server/cli.go	1088	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-026	P1	R6-P2 subprocess/network	G704	cmd/server/cli.go	1004	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-027	P1	R6-P2 subprocess/network	G704	cmd/server/cli.go	985	SSRF via taint analysis	verify loopback-only validation, redirect refusal, bounded dial and redacted logs	OPEN_BASELINE
R6-028	P2	R6-P3 permissions/bounds/secrets	G101	internal/api/admin_token.go	22	Potential hardcoded credentials	inspect the flagged literal and prove it is not a credential or secret	OPEN_BASELINE
R6-029	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	975	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-030	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	972	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-031	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	808	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-032	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	784	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-033	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	781	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-034	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	771	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-035	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	592	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-036	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	582	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-037	P0	R6-P1 paths/confinement	G703	cmd/server/cli_runtime.go	458	Path traversal via taint analysis	trace tainted path to execution and prove confinement or reachability	OPEN_BASELINE
R6-038	P1	R6-P2 subprocess/network	G204	internal/browser/download.go	515	Subprocess launched with variable	verify argv separation, executable/options allowlist, no shell, timeout and cleanup	OPEN_BASELINE
R6-039	P1	R6-P2 subprocess/network	G204	internal/browser/download.go	388	Subprocess launched with variable	verify argv separation, executable/options allowlist, no shell, timeout and cleanup	OPEN_BASELINE
R6-040	P1	R6-P2 subprocess/network	G204	cmd/server/main.go	564	Subprocess launched with variable	verify argv separation, executable/options allowlist, no shell, timeout and cleanup	OPEN_BASELINE
R6-041	P1	R6-P2 subprocess/network	G204	cmd/server/main.go	562	Subprocess launched with variable	verify argv separation, executable/options allowlist, no shell, timeout and cleanup	OPEN_BASELINE
R6-042	P1	R6-P2 subprocess/network	G204	cmd/server/main.go	560	Subprocess launched with variable	verify argv separation, executable/options allowlist, no shell, timeout and cleanup	OPEN_BASELINE
R6-043	P0	R6-P1 paths/confinement	G304	internal/workflow/engine.go	53	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-044	P0	R6-P1 paths/confinement	G304	internal/fingerprint/pool.go	25	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-045	P0	R6-P1 paths/confinement	G304	internal/browser/launch_chromium.go	201	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-046	P0	R6-P1 paths/confinement	G304	internal/browser/download.go	603	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-047	P0	R6-P1 paths/confinement	G304	internal/browser/archive_security.go	210	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-048	P0	R6-P1 paths/confinement	G304	internal/browser/archive_security.go	168	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-049	P0	R6-P1 paths/confinement	G304	internal/browser/archive_security.go	141	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-050	P0	R6-P1 paths/confinement	G304	cmd/server/cli_runtime.go	975	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-051	P0	R6-P1 paths/confinement	G304	cmd/server/cli_runtime.go	784	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-052	P0	R6-P1 paths/confinement	G304	cmd/server/cli.go	856	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-053	P0	R6-P1 paths/confinement	G304	cmd/server/cli.go	572	Potential file inclusion via variable	demonstrate root, absolute path, symlink/hardlink/special-file and TOCTOU behavior	OPEN_BASELINE
R6-054	P0	R6-P1 paths/confinement	G305	cmd/server/cli_runtime.go	804	File traversal when extracting zip/tar archive	prove archive extraction traversal protections and filesystem destination confinement	OPEN_BASELINE
R6-055	P2	R6-P3 permissions/bounds/secrets	G302	internal/groups/store.go	48	Expect file permissions to be 0600 or less	verify effective modes for directories, files and executables against product policy	OPEN_BASELINE
R6-056	P2	R6-P3 permissions/bounds/secrets	G302	internal/browser/download.go	526	Expect file permissions to be 0600 or less	verify effective modes for directories, files and executables against product policy	OPEN_BASELINE
R6-057	P2	R6-P3 permissions/bounds/secrets	G302	internal/browser/download.go	434	Expect file permissions to be 0600 or less	verify effective modes for directories, files and executables against product policy	OPEN_BASELINE
R6-058	P2	R6-P3 permissions/bounds/secrets	G302	internal/browser/download.go	374	Expect file permissions to be 0600 or less	verify effective modes for directories, files and executables against product policy	OPEN_BASELINE
R6-059	P2	R6-P3 permissions/bounds/secrets	G302	cmd/server/cli.go	763	Expect file permissions to be 0600 or less	verify effective modes for directories, files and executables against product policy	OPEN_BASELINE
