id	rule	severity	confidence	file	function	line	source	executed_path	asset	precondition	impact_CIA	application_control	existing_test	proposed_fix	lot	status	details
R4-011	G404	HIGH	MEDIUM	internal/humanize/math.go	fittsSteps	108	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-012	G404	HIGH	MEDIUM	internal/humanize/math.go	overshootPoint	98	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-013	G404	HIGH	MEDIUM	internal/humanize/math.go	overshootPoint	97	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-014	G404	HIGH	MEDIUM	internal/humanize/math.go	bezierPath	77	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-015	G404	HIGH	MEDIUM	internal/humanize/math.go	bezierPath	76	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-016	G404	HIGH	MEDIUM	internal/humanize/math.go	bezierPath	59	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-017	G404	HIGH	MEDIUM	internal/humanize/math.go	bezierPath	55	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-018	G404	HIGH	MEDIUM	internal/humanize/math.go	bezierPath	49	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-019	G404	HIGH	MEDIUM	internal/humanize/keyboard.go	pickTypo	84	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-020	G404	HIGH	MEDIUM	internal/humanize/keyboard.go	Type	56	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-021	G404	HIGH	MEDIUM	internal/fingerprint/pool.go	Pick	64	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	humanization/fingerprint behavior	humanization/fingerprint behavior	weak PRNG influences non-cryptographic variation	low integrity/privacy impact; no auth impact established	not used for token/key/auth decisions by current review	stability tests and manual behavior review	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
R4-022	G704	HIGH	HIGH	internal/api/sessions.go	playwrightWSProxy	478	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-023	G704	HIGH	HIGH	cmd/server/cli_runtime.go	restoreMetadataBackup	945	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-024	G704	HIGH	HIGH	cmd/server/cli_runtime.go	createMetadataBackup	889	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-025	G704	HIGH	HIGH	cmd/server/cli_runtime.go	createMetadataBackup	884	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-026	G704	HIGH	HIGH	cmd/server/cli.go	doJSON	1088	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-027	G704	HIGH	HIGH	cmd/server/cli.go	apiPOST	1004	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-028	G704	HIGH	HIGH	cmd/server/cli.go	apiGET	985	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	SSRF via taint analysis
R4-029	G101	HIGH	LOW	internal/api/admin_token.go	package scope	22	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	admin-token identifier or token metadata context	admin-token identifier or token metadata context	pattern is mistaken for embedded credential, or real secret is committed	confidentiality/integrity	redaction and synthetic-token-only policy	gitleaks and source inspection	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Potential hardcoded credentials
R4-030	G703	HIGH	HIGH	cmd/server/cli_runtime.go	restoreMetadataBackup	935	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-031	G703	HIGH	HIGH	cmd/server/cli_runtime.go	createMetadataBackup	900	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-032	G703	HIGH	HIGH	cmd/server/cli_runtime.go	createMetadataBackup	897	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-033	G703	HIGH	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	785	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-034	G703	HIGH	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	761	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-035	G703	HIGH	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	758	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-036	G703	HIGH	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	748	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-037	G703	HIGH	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	709	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-038	G703	HIGH	HIGH	cmd/server/cli_runtime.go	createFullBackup	594	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-039	G703	HIGH	HIGH	cmd/server/cli_runtime.go	createFullBackup	591	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-040	G703	HIGH	HIGH	cmd/server/cli_runtime.go	backupOutputPath	581	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-041	G703	HIGH	HIGH	cmd/server/cli_runtime.go	installBrowsers	457	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Path traversal via taint analysis
R4-042	G204	MEDIUM	HIGH	internal/browser/download.go	DownloadCloakBrowser	484	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	Subprocess launched with variable
R4-043	G204	MEDIUM	HIGH	internal/browser/download.go	clearMacOSQuarantine	358	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	Subprocess launched with variable
R4-044	G204	MEDIUM	HIGH	cmd/server/main.go	openBrowser	559	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	Subprocess launched with variable
R4-045	G204	MEDIUM	HIGH	cmd/server/main.go	openBrowser	557	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	Subprocess launched with variable
R4-046	G204	MEDIUM	HIGH	cmd/server/main.go	openBrowser	555	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	subprocess or WebSocket/HTTP bridge	subprocess or WebSocket/HTTP bridge	tainted command/endpoint or missing timeout	integrity/availability/confidentiality	allowlisted local targets, deadlines and platform-specific guards on reviewed paths	synthetic local refusal/timeout tests	Inspect and harden the R4-D path; preserve scanner visibility and add negative/positive regression tests.	R4-D	NEEDS_MANUAL_REVIEW	Subprocess launched with variable
R4-047	G304	MEDIUM	HIGH	internal/workflow/engine.go	LoadFile	53	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-048	G304	MEDIUM	HIGH	internal/mcp/advanced_tools.go	toolReadDownload	481	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-049	G304	MEDIUM	HIGH	internal/fingerprint/pool.go	NewPool	25	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-050	G304	MEDIUM	HIGH	internal/config/config.go	SetupLogger	172	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-051	G304	MEDIUM	HIGH	internal/config/config.go	Load	91	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-052	G304	MEDIUM	HIGH	internal/browser/launch_chromium.go	launchChromium	201	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-053	G304	MEDIUM	HIGH	internal/browser/download.go	download	558	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-054	G304	MEDIUM	HIGH	internal/browser/download.go	InstalledVersion	136	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-055	G304	MEDIUM	HIGH	internal/browser/archive_security.go	secureExtractTarGz	209	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
