R5_C_ID	STATUS	RULE	FILE	LINE	DETAILS	CLASSIFICATION	EVIDENCE
R5-C-011	OPEN_REVIEW	G404	internal/humanize/math.go	98	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-012	OPEN_REVIEW	G404	internal/humanize/math.go	97	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-013	OPEN_REVIEW	G404	internal/humanize/math.go	77	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-014	OPEN_REVIEW	G404	internal/humanize/math.go	76	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-015	OPEN_REVIEW	G404	internal/humanize/math.go	59	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-016	OPEN_REVIEW	G404	internal/humanize/math.go	55	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-017	OPEN_REVIEW	G404	internal/humanize/math.go	49	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-018	OPEN_REVIEW	G404	internal/humanize/keyboard.go	92	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-019	OPEN_REVIEW	G404	internal/humanize/keyboard.go	58	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-020	OPEN_REVIEW	G404	internal/fingerprint/pool.go	64	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	intentional non-cryptographic humanization/fingerprint selection; retain static finding for review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-021	OPEN_REVIEW	G101	internal/api/admin_token.go	22	Potential hardcoded credentials	constant is metadata/version context rather than token value, but retained open pending manual review	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-022	OPEN_REVIEW	G302	internal/groups/store.go	48	Expect file permissions to be 0600 or less	mode policy requires review: private data dirs/files and 0755 executable policy are intentional; no blanket closure	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-023	OPEN_REVIEW	G302	internal/browser/download.go	526	Expect file permissions to be 0600 or less	mode policy requires review: private data dirs/files and 0755 executable policy are intentional; no blanket closure	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-024	OPEN_REVIEW	G302	internal/browser/download.go	434	Expect file permissions to be 0600 or less	mode policy requires review: private data dirs/files and 0755 executable policy are intentional; no blanket closure	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-025	OPEN_REVIEW	G302	internal/browser/download.go	374	Expect file permissions to be 0600 or less	mode policy requires review: private data dirs/files and 0755 executable policy are intentional; no blanket closure	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
R5-C-026	OPEN_REVIEW	G302	cmd/server/cli.go	763	Expect file permissions to be 0600 or less	mode policy requires review: private data dirs/files and 0755 executable policy are intentional; no blanket closure	evidence/GOSEC_R5/gosec_after_r5c.json; evidence/GOSEC_R5/R5_C_FINAL_RAW.log
