R5_B_ID	STATUS	RULE	FILE	LINE	DETAILS	CONTROL_OR_REVIEW	EVIDENCE
R5-B-031	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	972	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-032	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	808	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-033	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	784	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-034	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	781	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-035	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	771	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-036	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	592	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-037	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	582	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-038	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	458	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-039	OPEN_REVIEW	G204	internal/browser/download.go	515	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-040	OPEN_REVIEW	G204	internal/browser/download.go	388	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-041	OPEN_REVIEW	G204	cmd/server/main.go	564	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-042	OPEN_REVIEW	G204	cmd/server/main.go	562	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-043	OPEN_REVIEW	G204	cmd/server/main.go	560	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-044	OPEN_REVIEW	G304	internal/workflow/engine.go	53	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-045	OPEN_REVIEW	G304	internal/fingerprint/pool.go	25	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-046	OPEN_REVIEW	G304	internal/browser/launch_chromium.go	201	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-047	OPEN_REVIEW	G304	internal/browser/download.go	603	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-048	OPEN_REVIEW	G304	internal/browser/archive_security.go	210	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-049	OPEN_REVIEW	G304	internal/browser/archive_security.go	168	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-050	OPEN_REVIEW	G304	internal/browser/archive_security.go	141	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-051	OPEN_REVIEW	G304	cmd/server/cli_runtime.go	975	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-052	OPEN_REVIEW	G304	cmd/server/cli_runtime.go	784	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-053	OPEN_REVIEW	G304	cmd/server/cli.go	856	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-054	OPEN_REVIEW	G304	cmd/server/cli.go	572	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-055	OPEN_REVIEW	G305	cmd/server/cli_runtime.go	804	File traversal when extracting zip/tar archive	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-056	OPEN_REVIEW	G302	internal/groups/store.go	48	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-057	OPEN_REVIEW	G302	internal/browser/download.go	526	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-058	OPEN_REVIEW	G302	internal/browser/download.go	434	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-059	OPEN_REVIEW	G302	internal/browser/download.go	374	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
R5-B-060	OPEN_REVIEW	G302	cmd/server/cli.go	763	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5b.json; evidence/GOSEC_R5/R5_B_FINAL_RAW.log
