R6C_ID	RULE	FILE	FUNCTION_OR_CONTEXT	LINE	EXECUTION_PATH	ENTRY_OR_VALUE	IMPACT	EXISTING_CONTROL	TEST_OR_EVIDENCE	PROPOSED_CORRECTION	FINAL_DECISION
R6C-016	G404	internal/humanize/math.go	humanize movement/timing	55	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-017	G404	internal/humanize/math.go	humanize movement/timing	49	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-018	G404	internal/humanize/keyboard.go	humanize movement/timing	92	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-019	G404	internal/humanize/keyboard.go	humanize movement/timing	58	mouse/keyboard/path simulation -> jitter, delay, anchor selection	synthetic movement parameters	non-cryptographic simulation quality only	package is humanization/simulation; no auth, token, authorization or security decision	humanize and browser persona regression suite	manual review; crypto/rand would alter simulation semantics	SCANNER_OPEN_MANUAL_REVIEW
R6C-020	G404	internal/fingerprint/pool.go	fingerprint.Pool.Pick	80	loaded fingerprint pool -> random unused selection	pool index	not cryptographic; would be unsafe only if used for auth/security decision	pool data root-scoped; selection only rotates synthetic fingerprint; token generation uses crypto/rand	fingerprint pool tests and source context review	do not replace with crypto/rand without changing deterministic/non-security behavior; manual review	SCANNER_OPEN_MANUAL_REVIEW
R6C-021	G101	internal/api/admin_token.go	adminTokenMetadataName	22	constant metadata filename -> token metadata persistence	.api-token.meta filename literal	scanner pattern resembles credential but is not a credential value	metadata stores digest/timestamps/revocation only; token generated with crypto/rand; responses/logs redacted	admin_token_test.go persistence/redaction/state tests	manual scanner review; never suppress globally	SCANNER_OPEN_MANUAL_REVIEW
R6C-022	G302	internal/groups/store.go	groups.NewStore	48	runtime data directory -> groups.json temporary write -> rename	dataDir supplied by caller	other users could read/alter group proxy metadata if parent/file mode is weak	directory 0700; temporary groups.json 0600; atomic rename	store_test.go private directory and groups.json 0600	keep 0700/0600 and add native owner/parent test where available	MITIGATED_CONTROL_SCANNER_OPEN
R6C-023	G302	internal/browser/download.go	browser runtime installer	526	trusted staged archive -> discovered executable -> chmod 0755	binary path from confined staging	executable must run but must not be replaceable by other users	staging/root directories 0700; archive paths/types/symlinks bounded; executable mode 0755	archive security and runtime installer tests	native owner/other-user test on supported OS; do not reduce executable mode blindly	MITIGATED_CONTROL_SCANNER_OPEN
R6C-024	G302	internal/browser/download.go	browser runtime installer	434	trusted staged archive -> discovered executable -> chmod 0755	binary path from confined staging	executable must run but must not be replaceable by other users	staging/root directories 0700; archive paths/types/symlinks bounded; executable mode 0755	archive security and runtime installer tests	native owner/other-user test on supported OS; do not reduce executable mode blindly	MITIGATED_CONTROL_SCANNER_OPEN
R6C-025	G302	internal/browser/download.go	browser runtime installer	374	trusted staged archive -> discovered executable -> chmod 0755	binary path from confined staging	executable must run but must not be replaceable by other users	staging/root directories 0700; archive paths/types/symlinks bounded; executable mode 0755	archive security and runtime installer tests	native owner/other-user test on supported OS; do not reduce executable mode blindly	MITIGATED_CONTROL_SCANNER_OPEN
R6C-026	G302	cmd/server/cli.go	ensureRuntimeDirs	763	baseDir -> profiles/data/logs/browsers	baseDir	runtime tree could be exposed if parent is weak	MkdirAll + Chmod 0700 for each runtime directory	existing runtime/backup permission tests	manual review of owner/parent and replacement semantics	MITIGATED_CONTROL_SCANNER_OPEN
